CPT_LONG_DESCRIPTION|CPT_ADD_NOTE|CPT_CODE|CPT_SHORT_DESCRIPTION
ULTRASOUND, CHEST, B-SCAN (INCLUDES MEDIASTINUM) AND/OR REAL TIME WITH IMAGE DOCUMENTATION||76604|US EXAM, CHEST, B-SCAN
ULTRASOUND, BREAST(S) (UNILATERAL OR BILATERAL), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION||76645|US EXAM, BREAST(S)
ULTRASOUND, ABDOMINAL, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; COMPLETE||76700|US EXAM, ABDOM, COMPLETE
ULTRASOUND, ABDOMINAL, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; LIMITED (EG, SINGLE ORGAN, QUADRANT, FOLLOW-UP)||76705|US EXAM, ABDOM, LIMITED
ULTRASOUND, RETROPERITONEAL (EG, RENAL, AORTA, NODES), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; COMPLETE||76770|US EXAM ABDO BACK WALL, COMP
ULTRASOUND, RETROPERITONEAL (EG, RENAL, AORTA, NODES), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; LIMITED||76775|US EXAM ABDO BACK WALL, LIM
ULTRASOUND, TRANSPLANTED KIDNEY, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION, WITH OR WITHOUT DUPLEX DOPPLER STUDY||76778|US EXAM KIDNEY TRANSPLANT
ULTRASOUND, SPINAL CANAL AND CONTENTS||76800|US EXAM, SPINAL CANAL
ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL&MATERNAL EVALUATION, FIRST TRIMESTER (<14 WEEKS 0 DAYS), TRANSABDOMINAL|APP|76801|ULTRASOUND 1ST TRI SINGLE
ULTRASOUND, PREGNANT UTERUS, REAL TIME W IMAGE DOCUMENTATION, FETAL&MATERNAL EVAL, 1ST TRIMESTER (<14 WEEKS 0 DAYS),TRANSABDOMINAL APPROACH; EA|AD|76802|ULTRASOUND 1ST TRI ADD GEST
ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL AND MATERNAL EVALUATION, AFTER FIRST TRIMESTER (> OR = 14 WEEKS 0 DAYS),|TR|76805|ULTRASND >/=14WK 0 DAY; SNGL
ULTRASOUND, PREGNANT UTERUS, REAL TME W IMAGE DOCUMENT, FETAL&MATERNAL EVAL, AFTER 1ST TRIMESTER (>/= 14 WEEKS 0 DAYS), TRANSABDOMINAL APPR; EA|AD|76810|ULTRASND >/=14WK 0 DAY;ADD'L
ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, FETAL AND MATERNAL EVALUATION PLUS DETAILED FETAL ANATOMIC EXAMINATION,TRANSAB|DOM|76811|ULTRASOUND ANATOMIC EXAM SGN
ULTRASOUND, PREGNANT UTERUS, REAL TIME W IMAGE DOCUMENT, FETAL&MATERNAL EVAL+DETAILED FETAL ANATOMIC EXAMINATION,TRANSABDOMINAL APPROACH; EA AD|DIT|76812|ULTSOUND ANTOMIC EXAM ADD GE
ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION, LIMITED (EG, FETAL HEART BEAT, PLACENTAL LOCATION, FETAL POSITION AND/OR QUALI|TAT|76815|ULTRASND LIMITED 1+ FETUSES
US, PRGNANT UTERUS, REAL TME W IMG DOCUMENTATION, F/U (EG, RE-EVAL, ORGAN SYST(S) SUSPECTED/CONFMED BE ABNORM PREVIOUS SCAN), TRANSABDOM APPR,/|FET|76816|ULTRASND FOLOW-UP TRANS APRCH
ULTRASOUND, PREGNANT UTERUS, REAL TIME WITH IMAGE DOCUMENTATION,TRANSVAGINAL||76817|ULTRASOUND, TRANSVAGINAL
FETAL BIOPHYSICAL PROFILE; WITH NON-STRESS TESTING||76818|FTL BIOPHYS PROF;NON-STRSS TST
FETAL BIOPHYSICAL PROFILE; WITHOUT NON-STRESS TESTING||76819|FETAL BIOPHYS PROFIL W/O NST
ECHOCARDIOGRAPHY, FETAL, CARDIOVASCULAR SYSTEM, REAL TIME WITH IMAGE DOCUMENTATION (2D) WITH OR WITHOUT M-MODE RECORDING;||76825|ECHO EXAM OF FETAL HEART
ECHOCARDIOGRAPHY, FETAL, CARDIOVASCULAR SYSTEM, REAL TIME WITH IMAGE DOCUMENTATION (2D) WITH OR WITHOUT M-MODE RECORDING; FOLLOW-UP OR REPEAT S|TUD|76826|ECHO EXAM OF FETAL HEART
DOPPLER ECHOCARDIOGRAPHY, FETAL, CARDIOVASCULAR SYSTEM, PULSED WAVE AND/OR CONTINUOUS WAVE WITH SPECTRAL DISPLAY; COMPLETE||76827|ECHO EXAM OF FETAL HEART
DOPPLER ECHOCARDIOGRAPHY, FETAL, CARDIOVASCULAR SYSTEM, PULSED WAVE AND/OR CONTINUOUS WAVE WITH SPECTRAL DISPLAY; FOLLOW-UP OR REPEAT STUDY||76828|ECHO EXAM OF FETAL HEART
ULTRASOUND, TRANSVAGINAL||76830|US EXAM, TRANSVAGINAL
HYSTEROSONOGRAPHY, WITH OR WITHOUT COLOR FLOW DOPPLER||76831|ECHO EXAM, UTERUS
ULTRASOUND, PELVIC (NONOBSTETRIC), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; COMPLETE||76856|US EXAM, PELVIC, COMPLETE
ULTRASOUND, PELVIC (NONOBSTETRIC), B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION; LIMITED OR FOLLOW-UP (EG, FOR FOLLICLES)||76857|US EXAM, PELVIC, LIMITED
ULTRASOUND, SCROTUM AND CONTENTS||76870|US EXAM, SCROTUM
ECHOGRAPHY, TRANSRECTAL||76872|ECHO EXAM, TRANSRECTAL
ECHOGRAPHY, TRANSRECTAL; PROSTATE VOLUME STUDY FOR BRACHYTHERAPY TREATMENT PLANNING (SEPARATE PROCEDURE)||76873|ECHOGRAP TRANS R, PROS STUDY
ULTRASOUND, EXTREMITY, NON-VASCULAR, B-SCAN AND/OR REAL TIME WITH IMAGE DOCUMENTATION||76880|US EXAM, EXTREMITY
ULTRASOUND, INFANT HIPS, REAL TIME WITH IMAGING DOCUMENTATION; DYNAMIC (REQUIRING PHYSICIAN MANIPULATION)||76885|US EXAM INFANT HIPS, DYNAMIC
ULTRASOUND, INFANT HIPS, REAL TIME WITH IMAGING DOCUMENTATION; LIMITED, STATIC (NOT REQUIRING PHYSICIAN MANIPULATION)||76886|US EXAM INFANT HIPS, STATIC
ULTRASONIC GUIDANCE FOR PERICARDIOCENTESIS, IMAGING SUPERVISION AND INTERPRETATION||76930|ULTRASON GD,PERICARDIOCENTESIS
ULTRASONIC GUIDANCE FOR ENDOMYOCARDIAL BIOPSY, IMAGING SUPERVISION AND INTERPRETATION||76932|ULTRASON GD,ENDOMYOCARDIAL BX
ULTRASOUND GUIDED COMPRESSION REPAIR OF ARTERIAL PSEUDOANEURYSM OR ARTERIOVENOUS FISTULAE (INCLUDES DIAGNOSTIC ULTRASOUND EVALUATION, COMPRESSI|ON|76936|ECHO GUIDE FOR ARTERY REPAIR
ULTRASONIC GUIDANCE FOR INTRAUTERINE FETAL TRANSFUSION OR CORDOCENTESIS, IMAGING SUPERVISION AND INTERPRETATION||76941|US GD,INTRAUTER TRANSFS/CORDOC
ULTRASONIC GUIDANCE FOR NEEDLE PLACEMENT (EG, BIOPSY, ASPIRATION, INJECTION, LOCALIZATION DEVICE), IMAGING SUPERVISION AND INTERPRETATION||76942|ULTRASONIC GD,NDL PLACEMENT
ULTRASONIC GUIDANCE FOR CHORIONIC VILLUS SAMPLING, IMAGING SUPERVISION AND INTERPRETATION||76945|ULTRASONIC GD,CHORIONIC VILLUS
ULTRASONIC GUIDANCE FOR AMNIOCENTESIS, IMAGING SUPERVISION AND INTERPRETATION||76946|ULTRASONIC GD,AMNIOCENTESIS
ULTRASONIC GUIDANCE FOR ASPIRATION OF OVA, IMAGING SUPERVISION AND INTERPRETATION||76948|ULTRASONIC GD,ASPIRATION,OVA
ULTRASONIC GUIDANCE FOR PLACEMENT OF RADIATION THERAPY FIELDS||76950|ULTRASNC GD,PLACEMNT,RAD THER
ULTRASONIC GUIDANCE FOR INTERSTITIAL RADIOELEMENT APPLICATION||76965|ECHO GUIDANCE RADIOTHERAPY
ULTRASOUND STUDY FOLLOW-UP (SPECIFY)||76970|ULTRASOUND EXAM FOLLOW-UP
GASTROINTESTINAL ENDOSCOPIC ULTRASOUND, SUPERVISION AND INTERPRETATION||76975|GASTROINTSTIN ENDOSC ULTRASND
ULTRASOUND BONE DENSITY MEASUREMENT AND INTERPRETATION, PERIPHERAL SITE(S), ANY METHOD||76977|US BONE DENSITY MEASURE
ULTRASONIC GUIDANCE, INTRAOPERATIVE||76986|ULTRASONIC GD,INTRAOPERATIVE
UNLISTED ULTRASOUND PROCEDURE (EG, DIAGNOSTIC, INTERVENTIONAL)||76999|UNLISTED ULTRASOUND PROC
THERAPEUTIC RADIOLOGY TREATMENT PLANNING; SIMPLE||77261|RADIATION THERAPY PLANNING
THERAPEUTIC RADIOLOGY TREATMENT PLANNING; INTERMEDIATE||77262|RADIATION THERAPY PLANNING
THERAPEUTIC RADIOLOGY TREATMENT PLANNING; COMPLEX||77263|RADIATION THERAPY PLANNING
THERAPEUTIC RADIOLOGY SIMULATION-AIDED FIELD SETTING; SIMPLE||77280|SET RADIATION THERAPY FIELD
THERAPEUTIC RADIOLOGY SIMULATION-AIDED FIELD SETTING; INTERMEDIATE||77285|SET RADIATION THERAPY FIELD
THERAPEUTIC RADIOLOGY SIMULATION-AIDED FIELD SETTING; COMPLEX||77290|SET RADIATION THERAPY FIELD
THERAPEUTIC RADIOLOGY SIMULATION-AIDED FIELD SETTING; BY THREE-DIMENSIONAL RECONSTRUCTION OF TUMOR VOLUME||77295|SET RADIATION THERAPY FIELD
UNLISTED PROCEDURE, THERAPEUTIC RADIOLOGY CLINICAL TREATMENT PLANNING||77299|RADIATION THERAPY PLANNING
BASIC RAD DOSIMETRY CALC,CENTRL AXIS DPTH DOS CALC,TDF,NSD,GAP CALC,OFF AXIS FACTOR,TISS INHOMOGENEITY FACTORS,CALC,NON-IONIZING RAD SURF&DEPTH|DO|77300|RADIATION THERAPY DOSE PLAN
INTENSITY MODULATED RADIOTHERAPY PLAN, INCLUDING DOSE-VOLUME HISTOGRAMS FOR TARGET AND CRITICAL STRUCTURE PARTIAL TOLERANCE SPECIFICATIONS||77301|RADIOLTHERAPY DOS PLAN, IMRT
TELETHERAPY, ISODOSE PLAN (WHETHER HAND OR COMPUTER CALCULATED); SIMPLE (ONE OR TWO PARALLEL OPPOSED UNMODIFIED PORTS DIRECTED TO A SINGLE AREA|OF|77305|RADIATION THERAPY DOSE PLAN
TELETHERAPY, ISODOSE PLAN (WHETHER HAND OR COMPUTER CALCULATED); INTERMEDIATE (THREE OR MORE TREATMENT PORTS DIRECTED TO A SINGLE AREA OF INTER|EST|77310|RADIATION THERAPY DOSE PLAN
TELETHERAPY, ISODOSE PLAN (WHETHER HAND OR COMPUTER CALCULATED); COMPLEX (MANTLE OR INVERTED Y, TANGENTIAL PORTS, USE OF WEDGES, COMPENSATORS,|COM|77315|RADIATION THERAPY DOSE PLAN
SPECIAL TELETHERAPY PORT PLAN, PARTICLES, HEMI-BODY, TOTAL BODY||77321|RADIATION THERAPY PORT PLAN
BRACHYTHERAPY ISODOSE PLAN; SIMPLE (CALCULATION MADE FROM SINGLE PLANE, ONE TO FOUR SOURCES/RIBBON APPLICATION, REMOTE AFTERLOADING BRACHYTHERA|"PY,"|77326|BRACHYTX ISODOSE CALC SIMP
BRACHYTHERAPY ISODOSE PLAN; INTERMEDIATE (MULTIPLANE DOSAGE CALCULATIONS, APPLICATION INVOLVING 5 TO 10 SOURCES/RIBBONS, REMOTE AFTERLOADING BR|ACH|77327|BRACHYTX ISODOSE CALC INTERM
BRACHYTHERAPY ISODOSE PLAN; COMPLEX (MULTIPLANE ISODOSE PLAN, VOL IMPLANT CALCULATIONS, OVER 10 SRCS/RIBBONS USED, SPECIAL SPATIAL RECONSTRUCTI|"ON,"|77328|BRACHYTX ISODOSE PLAN COMPL
SPECIAL DOSIMETRY (EG, TLD, MICRODOSIMETRY) (SPECIFY), ONLY WHEN PRESCRIBED BY THE TREATING PHYSICIAN||77331|SPECIAL RADIATION DOSIMETRY
TREATMENT DEVICES, DESIGN AND CONSTRUCTION; SIMPLE (SIMPLE BLOCK, SIMPLE BOLUS)||77332|RADIATION TREATMENT AID(S)
TREATMENT DEVICES, DESIGN AND CONSTRUCTION; INTERMEDIATE (MULTIPLE BLOCKS, STENTS, BITE BLOCKS, SPECIAL BOLUS)||77333|RADIATION TREATMENT AID(S)
TREATMENT DEVICES, DESIGN AND CONSTRUCTION; COMPLEX (IRREGULAR BLOCKS, SPECIAL SHIELDS, COMPENSATORS, WEDGES, MOLDS OR CASTS)||77334|RADIATION TREATMENT AID(S)
CONTINUING MEDICAL PHYSICS CONSULT, INCL ASSESSMENT OF TREAT PARAMETERS, QUALITY ASSURANCE OF DOSE DELIVERY, & REVIEW OF PATIENT TREAT DOC IN S|UPP|77336|RADIATION PHYSICS CONSULT
SPECIAL MEDICAL RADIATION PHYSICS CONSULTATION||77370|RADIATION PHYSICS CONSULT
UNLISTED PROCEDURE, MEDICAL RADIATION PHYSICS, DOSIMETRY AND TREATMENT DEVICES, AND SPECIAL SERVICES||77399|EXTERNAL RADIATION DOSIMETRY
RADIATION TREATMENT DELIVERY, SUPERFICIAL AND/OR ORTHO VOLTAGE||77401|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS; UP TO 5 MEV||77402|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS; 6-10 MEV||77403|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS; 11-19 MEV||77404|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, SINGLE TREATMENT AREA, SINGLE PORT OR PARALLEL OPPOSED PORTS, SIMPLE BLOCKS OR NO BLOCKS; 20 MEV OR GREATER||77406|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, TWO SEPARATE TREATMENT AREAS, THREE OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS; UP TO 5 MEV||77407|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, TWO SEPARATE TREATMENT AREAS, THREE OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS; 6-10 MEV||77408|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, TWO SEPARATE TREATMENT AREAS, THREE OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS; 11-19 MEV||77409|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, TWO SEPARATE TREATMENT AREAS, THREE OR MORE PORTS ON A SINGLE TREATMENT AREA, USE OF MULTIPLE BLOCKS; 20 MEV OR G|REA|77411|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, >=3 SEPARATE TREATMENT AREAS, CUSTOM BLOCKING, TANGENTIAL PORTS, WEDGES, ROTATIONAL BEAM, COMPENSATORS, SPEC PART|ICL|77412|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, >=3 SEPARATE TREATMENT AREAS, CUSTOM BLOCKING, TANGENTIAL PORTS, WEDGES, ROTATIONAL BEAM, COMPENSATORS, SPEC PART|ICL|77413|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, >=3 SEPARATE TREATMENT AREAS, CUSTOM BLOCKING, TANGENTIAL PORTS, WEDGES, ROTATIONAL BEAM, COMPENSATORS, SPEC PART|ICL|77414|RADIATION TREATMENT DELIVERY
RADIATION TREATMENT DELIVERY, >=3 SEPARATE TREATMENT AREAS, CUSTOM BLOCKING, TANGENTIAL PORTS, WEDGES, ROTATIONAL BEAM, COMPENSATORS, SPEC PART|ICL|77416|RADIATION TREATMENT DELIVERY
THERAPEUTIC RADIOLOGY PORT FILM(S)||77417|RADIOLOGY PORT FILM(S)
INTENSITY MODULATED TREATMENT DELIVERY, SINGLE OR MULTIPLE FIELDS/ARCS, VIA NARROW SPATIALLY AND TEMPORALLY MODULATED BEAMS (EG, BINARY, DYNAMI|C M|77418|RADIATION TX DELIVERY, IMRT
RADIATION TREATMENT MANAGEMENT, FIVE TREATMENTS||77427|RADIATION TX MANAGEMENT, X5
RADIATION THERAPY MANAGEMENT WITH COMPLETE COURSE OF THERAPY CONSISTING OF ONE OR TWO FRACTIONS ONLY||77431|RADIATION THERAPY MANAGEMENT
STEREOTACTIC RADIATION TREATMENT MANAGEMENT OF CEREBRAL LESION(S) (COMPLETE COURSE OF TREATMENT CONSISTING OF ONE SESSION)||77432|STEREOTACTIC RADIATION TRMT
SPECIAL TREATMENT PROCEDURE (EG, TOTAL BODY IRRADIATION, HEMIBODY RADIATION, PER ORAL, ENDOCAVITARY OR INTRAOPERATIVE CONE IRRADIATION)||77470|SPECIAL TREATMENT PROCEDURE
UNLISTED PROCEDURE, THERAPEUTIC RADIOLOGY TREATMENT MANAGEMENT||77499|RADIATION THERAPY MANAGEMENT
PROTON TREATMENT DELIVERY; SIMPLE, WITHOUT COMPENSATION||77520|PROTON TX DEL;SMPL,WO COMPNSAT
PROTON TREATMENT DELIVERY; SIMPLE, WITH COMPENSATION||77522|PROTON TREAT DEL;SIMPLE,COMPEN
PROTON TREATMENT DELIVERY; INTERMEDIATE||77523|PROTON TX DEL;INTERMEDIATE
PROTON TREATMENT DELIVERY; COMPLEX||77525|PROTON TREAT DELIVERY; COMPLEX
HYPERTHERMIA, EXTERNALLY GENERATED; SUPERFICIAL (IE, HEATING TO A DEPTH OF 4 CM OR LESS)||77600|HYPERTHERMIA TREATMENT
HYPERTHERMIA, EXTERNALLY GENERATED; DEEP (IE, HEATING TO DEPTHS GREATER THAN 4 CM)||77605|HYPERTHERMIA TREATMENT
HYPERTHERMIA GENERATED BY INTERSTITIAL PROBE(S); 5 OR FEWER INTERSTITIAL APPLICATORS||77610|HYPERTHERMIA TREATMENT
HYPERTHERMIA GENERATED BY INTERSTITIAL PROBE(S); MORE THAN 5 INTERSTITIAL APPLICATORS||77615|HYPERTHERMIA TREATMENT
HYPERTHERMIA GENERATED BY INTRACAVITARY PROBE(S)||77620|HYPERTHERMIA TREATMENT
INFUSION OR INSTILLATION OF RADIOELEMENT SOLUTION||77750|INFUSE RADIOACTIVE MATERIALS
INTRACAVITARY RADIATION SOURCE APPLICATION; SIMPLE||77761|INTRACAV RAD SRC APPL;SIMPLE
INTRACAVITARY RADIATION SOURCE APPLICATION; INTERMEDIATE||77762|INTRACAV RAD SRC APPL;INTERMED
INTRACAVITARY RADIATION SOURCE APPLICATION; COMPLEX||77763|INTRACAV RAD SRC APPL;COMPLEX
INTERSTITIAL RADIATION SOURCE APPLICATION; SIMPLE||77776|INTRSTIT RAD SRC APPL;SIMPLE
INTERSTITIAL RADIATION SOURCE APPLICATION; INTERMEDIATE||77777|INTRSTIT RAD SRC APPL;INTERMED
INTERSTITIAL RADIATION SOURCE APPLICATION; COMPLEX||77778|INTRSTIT RAD SRC APPL;COMPLEX
REMOTE AFTERLOADING HIGH INTENSITY BRACHYTHERAPY; 1-4 SOURCE POSITIONS OR CATHETERS||77781|HIGH INTENSITY BRACHYTHERAPY
REMOTE AFTERLOADING HIGH INTENSITY BRACHYTHERAPY; 5-8 SOURCE POSITIONS OR CATHETERS||77782|HIGH INTENSITY BRACHYTHERAPY
REMOTE AFTERLOADING HIGH INTENSITY BRACHYTHERAPY; 9-12 SOURCE POSITIONS OR CATHETERS||77783|HIGH INTENSITY BRACHYTHERAPY
REMOTE AFTERLOADING HIGH INTENSITY BRACHYTHERAPY; OVER 12 SOURCE POSITIONS OR CATHETERS||77784|HIGH INTENSITY BRACHYTHERAPY
SURFACE APPLICATION OF RADIATION SOURCE||77789|SURFACE APPL,RADIATION SOURCE
SUPERVISION, HANDLING, LOADING OF RADIATION SOURCE||77790|SUPERVIS,HANDLNG,LOAD,RAD SRC
UNLISTED PROCEDURE, CLINICAL BRACHYTHERAPY||77799|RADIUM/RADIOISOTOPE THERAPY
THYROID UPTAKE; SINGLE DETERMINATION||78000|THYROID, SINGLE UPTAKE
THYROID UPTAKE; MULTIPLE DETERMINATIONS||78001|THYROID, MULTIPLE UPTAKES
THYROID UPTAKE; STIMULATION, SUPPRESSION OR DISCHARGE (NOT INCLUDING INITIAL UPTAKE STUDIES)||78003|THYROID SUPPRESS/STIMUL
THYROID IMAGING, WITH UPTAKE; SINGLE DETERMINATION||78006|THYROID IMAGING WITH UPTAKE
THYROID IMAGING, WITH UPTAKE; MULTIPLE DETERMINATIONS||78007|THYROID IMAGE, MULT UPTAKES
THYROID IMAGING; ONLY||78010|THYROID IMAGING
THYROID IMAGING; WITH VASCULAR FLOW||78011|THYROID IMAGING WITH FLOW
THYROID CARCINOMA METASTASES IMAGING; LIMITED AREA (EG, NECK AND CHEST ONLY)||78015|THYROID MET IMAGING
THYROID CARCINOMA METASTASES IMAGING; WITH ADDITIONAL STUDIES (EG, URINARY RECOVERY)||78016|THYROID MET IMAGING/STUDIES
THYROID CARCINOMA METASTASES IMAGING; WHOLE BODY||78018|THYROID MET IMAGING, BODY
THYROID CARCINOMA METASTASES UPTAKE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)||78020|THYROID MET UPTAKE
PARATHYROID IMAGING||78070|PARATHYROID NUCLEAR IMAGING
ADRENAL IMAGING, CORTEX AND/OR MEDULLA||78075|ADRENAL NUCLEAR IMAGING
UNLISTED ENDOCRINE PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE||78099|ENDOCRINE NUCLEAR PROCEDURE
BONE MARROW IMAGING; LIMITED AREA||78102|BONE MARROW IMAGING, LTD
BONE MARROW IMAGING; MULTIPLE AREAS||78103|BONE MARROW IMAGING, MULT
BONE MARROW IMAGING; WHOLE BODY||78104|BONE MARROW IMAGING, BODY
PLASMA VOLUME, RADIOPHARMACEUTICAL VOLUME-DILUTION TECHNIQUE (SEPARATE PROCEDURE); SINGLE SAMPLING||78110|PLASMA VOLUME, SINGLE
PLASMA VOLUME, RADIOPHARMACEUTICAL VOLUME-DILUTION TECHNIQUE (SEPARATE PROCEDURE); MULTIPLE SAMPLINGS||78111|PLASMA VOLUME, MULTIPLE
RED CELL VOLUME DETERMINATION (SEPARATE PROCEDURE); SINGLE SAMPLING||78120|RED CELL MASS, SINGLE
RED CELL VOLUME DETERMINATION (SEPARATE PROCEDURE); MULTIPLE SAMPLINGS||78121|RED CELL MASS, MULTIPLE
WHOLE BLOOD VOLUME DETERMINATION, INCLUDING SEPARATE MEASUREMENT OF PLASMA VOLUME AND RED CELL VOLUME (RADIOPHARMACEUTICAL VOLUME-DILUTION TECH|NIQ|78122|BLOOD VOLUME
RED CELL SURVIVAL STUDY;||78130|RED CELL SURVIVAL STUDY
RED CELL SURVIVAL STUDY; DIFFERENTIAL ORGAN/TISSUE KINETICS, (EG, SPLENIC AND/OR HEPATIC SEQUESTRATION)||78135|RED CELL SURVIVAL KINETICS
LABELED RED CELL SEQUESTRATION, DIFFERENTIAL ORGAN/TISSUE, (EG, SPLENIC AND/OR HEPATIC)||78140|RED CELL SEQUESTRATION
PLASMA RADIOIRON DISAPPEARANCE (TURNOVER) RATE||78160|PLASMA IRON TURNOVER
RADIOIRON ORAL ABSORPTION||78162|IRON ABSORPTION EXAM
RADIOIRON RED CELL UTILIZATION||78170|RED CELL IRON UTILIZATION
CHELATABLE IRON FOR ESTIMATION OF TOTAL BODY IRON||78172|TOTAL BODY IRON ESTIMATION
SPLEEN IMAGING ONLY, WITH OR WITHOUT VASCULAR FLOW||78185|SPLEEN IMAGING
KINETICS, STUDY OF PLATELET SURVIVAL, WITH OR WITHOUT DIFFERENTIAL ORGAN/TISSUE LOCALIZATION||78190|PLATELET SURVIVAL, KINETICS
PLATELET SURVIVAL STUDY||78191|PLATELET SURVIVAL
LYMPHATICS AND LYMPH NODES IMAGING||78195|LYMPH SYSTEM IMAGING
UNLISTED HEMATOPOIETIC, RETICULOENDOTHELIAL AND LYMPHATIC PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE||78199|BLOOD/LYMPH NUCLEAR EXAM
LIVER IMAGING; STATIC ONLY||78201|LIVER IMAGING
LIVER IMAGING; WITH VASCULAR FLOW||78202|LIVER IMAGING WITH FLOW
LIVER IMAGING (SPECT)||78205|LIVER IMAGING (3D)
LIVER IMAGING (SPECT); WITH VASCULAR FLOW||78206|LIVER IMAGE (3D) W/FLOW
LIVER AND SPLEEN IMAGING; STATIC ONLY||78215|LIVER AND SPLEEN IMAGING
LIVER AND SPLEEN IMAGING; WITH VASCULAR FLOW||78216|LIVER & SPLEEN IMAGE/FLOW
LIVER FUNCTION STUDY WITH HEPATOBILIARY AGENTS, WITH SERIAL IMAGES||78220|LIVER FUNCTION STUDY
HEPATOBILIARY DUCTAL SYSTEM IMAGING, INCLUDING GALLBLADDER, WITH OR WITHOUT PHARMACOLOGIC INTERVENTION, WITH OR WITHOUT QUANTITATIVE MEASUREMEN|T O|78223|HEPATOBILIARY IMAGING
SALIVARY GLAND IMAGING;||78230|SALIVARY GLAND IMAGING
SALIVARY GLAND IMAGING; WITH SERIAL IMAGES||78231|SERIAL SALIVARY IMAGING
SALIVARY GLAND FUNCTION STUDY||78232|SALIVARY GLAND FUNCTION EXAM
ESOPHAGEAL MOTILITY||78258|ESOPHAGEAL MOTILITY STUDY
GASTRIC MUCOSA IMAGING||78261|GASTRIC MUCOSA IMAGING
GASTROESOPHAGEAL REFLUX STUDY||78262|GASTROESOPHAGEAL REFLUX EXAM
GASTRIC EMPTYING STUDY||78264|GASTRIC EMPTYING STUDY
UREA BREATH TEST, C-14; ACQUISITION FOR ANALYSIS||78267|BREATH TST ATTAIN/ANAL C-14
UREA BREATH TEST, C-14; ANALYSIS||78268|BREATH TEST ANALYSIS, C-14
VITAMIN B-12 ABSORPTION STUDY (EG, SCHILLING TEST); WITHOUT INTRINSIC FACTOR||78270|VIT B-12 ABSORPTION EXAM
VITAMIN B-12 ABSORPTION STUDY (EG, SCHILLING TEST); WITH INTRINSIC FACTOR||78271|VIT B-12 ABSORP EXAM, IF
VITAMIN B-12 ABSORPTION STUDIES COMBINED, WITH AND WITHOUT INTRINSIC FACTOR||78272|VIT B-12 ABSORP, COMBINED
ACUTE GASTROINTESTINAL BLOOD LOSS IMAGING||78278|ACUTE GI BLOOD LOSS IMAGING
GASTROINTESTINAL PROTEIN LOSS||78282|GI PROTEIN LOSS EXAM
INTESTINE IMAGING (EG, ECTOPIC GASTRIC MUCOSA, MECKELS LOCALIZATION, VOLVULUS)||78290|MECKEL'S DIVERT EXAM
PERITONEAL-VENOUS SHUNT PATENCY TEST (EG, FOR LEVEEN, DENVER SHUNT)||78291|LEVEEN/SHUNT PATENCY EXAM
UNLISTED GASTROINTESTINAL PROCEDURE, DIAGNOSTIC NUCLEAR MEDICINE||78299|GI NUCLEAR PROCEDURE
BONE AND/OR JOINT IMAGING; LIMITED AREA||78300|BONE IMAGING, LIMITED AREA
